Columnas 2019,Renombre_2019,Columnas_2022,Renombre_2022
ap01_01_Abril,ap01_Abril,ap02_2001,ap02_2003
ap01_01_Agosto,ap01_Agosto,ap02_2002,ap02_2004
ap01_01_Blanco,ap01_Blanco,ap02_2003,ap02_2005
ap01_01_Diciembre,ap01_Diciembre,ap02_2004,ap02_2006
ap01_01_Enero,ap01_Enero,ap02_2005,ap02_2007
ap01_01_Febrero,ap01_Febrero,ap02_2006,ap02_2008
ap01_01_Julio,ap01_Julio,ap15_Blanco,ap19_Blanco
ap01_01_Junio,ap01_Junio,ap15_De_1_a_5_libros,ap19_De_1_a_5_libros
ap01_01_Marzo,ap01_Marzo,ap15_De_21_a_50_libros,ap19_De_21_a_50_libros
ap01_01_Mayo,ap01_Mayo,ap15_De_51_a_100_libros,ap19_De_51_a_100_libros
ap01_01_Multimarca,ap01_Multimarca,ap15_De_6_a_20_libros,ap19_De_6_a_20_libros
ap01_01_No_disponible,ap01_No_disponible,ap15_Más_de_100_libros,ap19_Más_de_100_libros
ap01_01_Noviembre,ap01_Noviembre,ap15_Multimarca,ap19_Multimarca
ap01_01_Octubre,ap01_Octubre,ap15_No_disponible,ap19_No_disponible
ap01_01_Septiembre,ap01_Septiembre,ap15_No_tengo_libros_en_formato_papel,ap19_No_hay_libros_en_formato_papel
ap01_02_1998,ap02_2003,ap16a_Blanco,Nivel_Ed_Madre_Blanco
ap01_02_1999,ap02_2004,ap16a_Multimarca,Nivel_Ed_Madre_Multimarca
ap01_02_2000,ap02_2005,ap16a_No_disponible,Nivel_Ed_Madre_No_disponible
ap01_02_2001,ap02_2006,ap16a_No_fue_a_la_escuela,Nivel_Ed_Madre_No_fue_a_la_escuela
ap01_02_2002,ap02_2007,ap16a_Primario,Nivel_Ed_Madre_Primaria_completo
ap01_02_2003,ap02_2008,ap16a_Secundario,Nivel_Ed_Madre_Secundaria_completo
ap01_02_Blanco,ap02_Blanco,ap16a_Terciario_universitario_o_posgrado,Nivel_Ed_Madre_Terciario_universitario_posgrado_completo
ap01_02_Multimarca,ap02_Multimarca,ap16b_Blanco,Nivel_Ed_Padre_Blanco
ap01_02_No_Corresponde,ap02_No_Corresponde,ap16b_Multimarca,Nivel_Ed_Padre_Multimarca
ap01_02_No_disponible,ap02_No_disponible,ap16b_No_disponible,Nivel_Ed_Padre_No_disponible
ap02_Blanco,ap03_Blanco,ap16b_No_fue_a_la_escuela,Nivel_Ed_Padre_No_fue_a_la_escuela
ap02_Mujer,ap03_Femenino,ap16b_Primario,Nivel_Ed_Padre_Primaria_completo
ap02_Multimarca,ap03_Multimarca,ap16b_Secundario,Nivel_Ed_Padre_Secundaria_completo
ap02_No_disponible,ap03_No_disponible,ap16b_Terciario_universitario_o_posgrado,Nivel_Ed_Padre_Terciario_universitario_posgrado_completo
ap02_Varón,ap03_Masculino,ap16c_Blanco,Nivel_Ed_Persona_Resp_Blanco
ap03_Argentina,ap04_Argentina,ap16c_Multimarca,Nivel_Ed_Persona_Resp_Multimarca
ap03_Blanco,ap04_Blanco,ap16c_No_disponible,Nivel_Ed_Persona_Resp_No_disponible
