Columnas 2016;Renombre_2016;Columnas 2017;Renombre_2017;Columnas 2019;Renombre_2019;Columnas_2022;Renombre_2022
Ap1_1_16_años_o_menos;ap02_2006;ap1_16_años_o_menos;ap02_2008;ap01_01_Abril;ap01_Abril;ap02_2001;ap02_2003
Ap1_2_17_años;ap02_2005;ap1_17_años;ap02_2007;ap01_01_Agosto;ap01_Agosto;ap02_2002;ap02_2004
Ap1_3_18_años;ap02_2004;ap1_18_años;ap02_2006;ap01_01_Blanco;ap01_Blanco;ap02_2003;ap02_2005
Ap1_4_19_años;ap02_2003;ap1_19_años;ap02_2005;ap01_01_Diciembre;ap01_Diciembre;ap02_2004;ap02_2006
Ap1_5_20_años_o_más;ap02_2002;ap1_20_años_o_más;ap02_2004;ap01_01_Enero;ap01_Enero;ap02_2005;ap02_2007
Ap11_1_Sí;ap23_Sí_recibí_dinero_por_todas_ellas;ap10_Blanco;Nivel_Ed_Madre_Blanco;ap01_01_Febrero;ap01_Febrero;ap02_2006;ap02_2008
Ap11_2_No;ap23_Blanco;ap10_Dato_faltante;Nivel_Ed_Madre_No_disponible;ap01_01_Julio;ap01_Julio;ap15_Blanco;ap19_Blanco
Ap12_1_Sí;ap14_Sí;ap10_Multimarca;Nivel_Ed_Madre_Multimarca;ap01_01_Junio;ap01_Junio;ap15_De_1_a_5_libros;ap19_De_1_a_5_libros
Ap12_2_No;ap14_No;ap10_No_fue_a_la_escuela;Nivel_Ed_Madre_No_fue_a_la_escuela;ap01_01_Marzo;ap01_Marzo;ap15_De_21_a_50_libros;ap19_De_21_a_50_libros
Ap14_1_Sí_fui_al_jardín_antes_de_los_cuatro_años;ap24_Sí_desde_sala_de_3_o_antes;ap10_Primaria_completa;Nivel_Ed_Madre_Primaria_completo;ap01_01_Mayo;ap01_Mayo;ap15_De_51_a_100_libros;ap19_De_51_a_100_libros
Ap14_2_Sí_fui_al_jardín_desde_salita_de_4;ap24_Sí_desde_sala_de_4;ap10_Primaria_incompleta;Nivel_Ed_Madre_Primaria_incompleto;ap01_01_Multimarca;ap01_Multimarca;ap15_De_6_a_20_libros;ap19_De_6_a_20_libros
